2026-05-26 16:49:37,387 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,387 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,387 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,387 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,388 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,388 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,388 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,388 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,388 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,388 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,388 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,388 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,388 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,388 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,388 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,388 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,389 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,389 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,389 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,389 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,389 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,389 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,389 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,389 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,389 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,389 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,389 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,389 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,389 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,390 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,390 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,390 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,390 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,390 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,390 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,390 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,390 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,390 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,390 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,391 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,391 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,391 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,391 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,391 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,391 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,391 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,391 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,391 | root | INFO | Similituds trobades per a recomanació simple
2026-05-26 16:49:37,391 | root | INFO | Similituds trobades per a recomanació simple
